nform,cuest_id,time,parcela,cultivo,nombre_parcela,provparcela_cod,munparcela_cod,superf_parcela_has,superficie_parcela,descanso_sino,temporary_crop,month_siembra,year_siembra,mixto_sino,since_siembra,month_harvest,year_harvest,age,female_head,transporte,tiempo_cant,tiempo_um
106,H1547,2,11,CAF√â,LOS POZOS,Azua,Padre Las Casas,2.3894396,38,No,Permanente,Mayo,2016,S√≠,1980,,,71,0,Motor,25,Minutos
106,H1547,2,11,LIMON,LOS POZOS,Azua,Padre Las Casas,2.3894396,38,No,Permanente,Junio,2013,No,2013,,,71,0,Motor,25,Minutos
47,H1559,2,11,CAF√â,LAS AUYAMAS,Azua,Guayabal,2.5151997,40,No,Permanente,No recuerda,2015,S√≠,2014,,,51,1,Motor,40,Minutos
47,H1559,2,11,AGUACATE,LAS AUYAMAS,Azua,Guayabal,2.5151997,40,No,Permanente,No recuerda,2014,S√≠,2014,,,51,1,Motor,40,Minutos
45,H1565,2,11,AGUACATE,LA COLUMNA 1,Azua,Guayabal,4.7159996,75,No,Permanente,Agosto,2014,S√≠,2014,,,72,0,Motor,30,Minutos
45,H1565,2,11,CAF√â,LA COLUMNA 1,Azua,Guayabal,4.7159996,75,No,Permanente,Septiembre,2010,S√≠,2010,,,72,0,Motor,30,Minutos
45,H1565,2,12,GUANDUL,LA COLUMNA 2,Azua,Guayabal,5.0303993,80,No,Temporero,Abril,2019,No,2019,Diciembre,2019,72,0,Motor,30,Minutos
45,H1565,2,12,CAF√â,LA COLUMNA 2,Azua,Guayabal,5.0303993,80,No,Permanente,Mayo,2004,No,2004,,,72,0,Motor,30,Minutos
521,H1583,2,11,AGUACATE,LOS HIGOS,Azua,Las Yayas de Viajama,5.0303993,80,No,Permanente,Octubre,2018,No,2018,,,50,0,AutÛmovil,40,Minutos
521,H1583,2,11,GUANDUL,LOS HIGOS,Azua,Las Yayas de Viajama,5.0303993,80,No,Temporero,Abril,2019,No,1989,Diciembre,2019,50,0,AutÛmovil,40,Minutos
39,H1617,2,11,CAF√â,BOQUERON 1,Azua,Las Yayas de Viajama,8.8031988,140,No,Permanente,Mayo,2014,No,2014,,,65,0,Motor,32,Minutos
170,H1622,2,11,AGUACATE,LOS QUEMADOS,Azua,Padre Las Casas,6.2879992,100,No,Permanente,Octubre,2018,No,2017,,,71,1,Motor,25,Minutos
170,H1622,2,11,LIMON,LOS QUEMADOS,Azua,Padre Las Casas,6.2879992,100,No,Permanente,Junio,2015,No,2015,,,71,1,Motor,25,Minutos
185,H1624,2,11,AUYAMA,LA GAJO,Azua,Padre Las Casas,3.1439996,50,No,Temporero,Abril,2019,S√≠,2019,Agosto,2019,76,0,Motor,30,Minutos
185,H1624,2,11,AGUACATE,LA GAJO,Azua,Padre Las Casas,3.1439996,50,No,Permanente,Abril,2004,S√≠,2004,,,76,0,Motor,30,Minutos
185,H1624,2,11,GUANDUL,LA GAJO,Azua,Padre Las Casas,3.1439996,50,No,Temporero,Abril,2019,S√≠,2005,Noviembre,2019,76,0,Motor,30,Minutos
185,H1624,2,11,LIMON,LA GAJO,Azua,Padre Las Casas,3.1439996,50,No,Permanente,Mayo,2018,S√≠,2018,,,76,0,Motor,30,Minutos
169,H1629,2,11,LIMON,LOS COCUCES,Azua,Padre Las Casas,40.306076,641,No,Permanente,Marzo,2011,No,2011,,,80,0,AutÛmovil,40,Minutos
169,H1629,2,11,PASTO,LOS COCUCES,Azua,Padre Las Casas,40.306076,641,No,Permanente,Mayo,1975,No,1975,,,80,0,AutÛmovil,40,Minutos
177,H1638,2,11,LIMON,HORQUETA,Azua,Padre Las Casas,18.863998,300,No,Permanente,Septiembre,2015,S√≠,2015,,,85,0,AutÛmovil,15,Minutos
177,H1638,2,11,AGUACATE,HORQUETA,Azua,Padre Las Casas,18.863998,300,No,Permanente,Abril,2014,S√≠,2014,,,85,0,AutÛmovil,15,Minutos
177,H1638,2,11,PASTO,HORQUETA,Azua,Padre Las Casas,18.863998,300,No,Permanente,No recuerda,2005,No,9999,,,85,0,AutÛmovil,15,Minutos
177,H1638,2,11,HABICHUELA ROJA,HORQUETA,Azua,Padre Las Casas,18.863998,300,No,Temporero,Abril,2019,No,2005,Julio,2019,85,0,AutÛmovil,15,Minutos
173,H1647,2,11,AGUACATE,ARROYO YAYA,Azua,Padre Las Casas,3.2697597,52,No,Permanente,Octubre,2011,No,2011,,,61,0,Motor,15,Minutos
173,H1647,2,11,LIMON,ARROYO YAYA,Azua,Padre Las Casas,3.2697597,52,No,Permanente,Junio,2012,No,2010,,,61,0,Motor,15,Minutos
173,H1647,2,12,LIMON,EL REGUJO,Azua,Padre Las Casas,0.88031989,14,No,Permanente,Junio,2010,No,2010,,,61,0,Motor,15,Minutos
179,H1652,2,11,CAF√â,LOS JIBERO,Azua,Padre Las Casas,1.2575998,20,No,Permanente,Abril,2015,No,1989,,,71,0,Transporte p˙blico,20,Minutos
