cuest_id_b,cuest_id,time,parcela,cultivo,temporary_crop,age,gender,superf_parcela_has,Y,X,provparcela_cod,munparcela_cod,month_siembra,year_siembra,since_siembra,month_harvest,year_harvest,VP_HA,treat_status_fu,patca
2624,H1073,0. Baseline,12,pasto,0,60,Male,54.265434,19.531269,-71.08038999999999,valverde,mao,mayo,2006,1970,,,0,0. Pure Control,0
2624,H1073,0. Baseline,15,pasto,0,60,Male,5.0303993,19.461128,-71.271896,santiago rodriguez,san ignacio de sabaneta,mayo,2006,1970,,,0,0. Pure Control,0
2627,H1056,0. Baseline,13,caña(no de azucar),0,47,Male,6.036479,19.504272,-71.284435,santiago rodriguez,san ignacio de sabaneta,no recuerda,2008,2008,,,807.9246000000001,0. Pure Control,0
2627,H1056,0. Baseline,12,,0,47,Male,30.182396,19.509325,-71.28488900000001,santiago rodriguez,san ignacio de sabaneta,,,,,,807.9246000000001,0. Pure Control,0
2627,H1056,0. Baseline,11,auyama,1,47,Male,50.303993,19.507827,-71.27959199999999,santiago rodriguez,san ignacio de sabaneta,septiembre,2011,2009,enero,2012,807.9246000000001,0. Pure Control,0
2627,H1056,0. Baseline,13,pasto,0,47,Male,6.036479,19.504272,-71.284435,santiago rodriguez,san ignacio de sabaneta,no recuerda,2008,2008,,,807.9246000000001,0. Pure Control,0
2627,H1056,0. Baseline,13,plátano,0,47,Male,6.036479,19.504272,-71.284435,santiago rodriguez,san ignacio de sabaneta,noviembre,2011,2010,,,807.9246000000001,0. Pure Control,0
2627,H1056,0. Baseline,14,,0,47,Male,20.121597,19.508157,-71.285129,santiago rodriguez,san ignacio de sabaneta,,,,,,807.9246000000001,0. Pure Control,0
2630,H0975,0. Baseline,14,pasto,0,57,Male,13.959358,19.53055,-71.454277,dajabón,partido,no recuerda,2006,1999,,,0,0. Pure Control,0
2630,H0975,0. Baseline,13,pasto,0,57,Male,18.863998,19.530329,-71.45471999999999,dajabón,partido,no recuerda,1981,1999,,,0,0. Pure Control,0
2630,H0975,0. Baseline,11,pasto,0,57,Male,8.1743994,19.530359,-71.45455200000001,dajabón,partido,mayo,2011,1999,,,0,0. Pure Control,0
2630,H0975,0. Baseline,12,pasto,0,57,Male,15.719998,19.53035,-71.454605,dajabón,partido,no recuerda,2005,1999,,,0,0. Pure Control,0
2630,H0975,0. Baseline,15,pasto,0,57,Male,24.334557,19.5306,-71.45417,dajabón,partido,no recuerda,1982,1999,,,0,0. Pure Control,0
2631,H0974,0. Baseline,11,pasto,0,44,Male,1.7606398,19.530409,-71.453987,dajabón,partido,mayo,2010,2000,,,0,0. Pure Control,0
2634,H0986,0. Baseline,12,pasto,0,78,Female,5.8478394,19.525829,-71.46536999999999,dajabón,partido,no recuerda,1999,1999,,,0,0. Pure Control,0
2634,H0986,0. Baseline,11,pasto,0,78,Female,25.151997,19.51856,-71.46073199999999,dajabón,partido,no recuerda,1999,1999,,,0,0. Pure Control,0
2635,H0994,0. Baseline,11,pasto,0,47,Male,8.1743994,19.51228,-71.491028,dajabón,partido,no recuerda,1963,1980,,,0,0. Pure Control,0
2636,H0959,0. Baseline,13,pasto,0,51,Male,1.8863997,19.528429,-71.448097,dajabón,partido,julio,2004,1989,,,0,0. Pure Control,0
2636,H0959,0. Baseline,12,pasto,0,51,Male,5.7849593,19.530609,-71.44004099999999,dajabón,partido,no recuerda,1993,1989,,,0,0. Pure Control,0
2636,H0959,0. Baseline,21,pasto,0,51,Male,18.863998,19.469229,-71.503159,dajabón,partido,no recuerda,1994,1989,,,0,0. Pure Control,0
2636,H0959,0. Baseline,11,pasto,0,51,Male,15.719998,19.55093,-71.52098100000001,dajabón,partido,no recuerda,1989,1989,,,0,0. Pure Control,0
2637,H0982,0. Baseline,21,pasto,0,48,Male,1.0060799,19.502369,-71.46620900000001,dajabón,partido,no recuerda,2007,2004,,,0,0. Pure Control,0
2637,H0982,0. Baseline,11,pasto,0,48,Male,1.5719998,19.5023,-71.466019,dajabón,partido,no recuerda,2004,2004,,,0,0. Pure Control,0
2643,H1083,0. Baseline,11,,0,55,Male,3.1439996,19.425139,-71.378454,santiago rodriguez,san ignacio de sabaneta,,,,,,0,0. Pure Control,0
2647,H1043,0. Baseline,11,maiz grano/mazorca,1,46,Female,16.348799,19.458711,-71.27651,santiago rodriguez,san ignacio de sabaneta,abril,2011,2008,agosto,2011,0,0. Pure Control,0
2647,H1043,0. Baseline,11,pasto,0,46,Female,16.348799,19.458711,-71.27651,santiago rodriguez,san ignacio de sabaneta,febrero,2008,2008,,,0,0. Pure Control,0
2654,H1057,0. Baseline,11,yuca,1,45,Male,8.1743994,19.552859,-71.392402,santiago rodriguez,san ignacio de sabaneta,marzo,2011,2004,noviembre,2011,1508.125854492188,0. Pure Control,0
